Price,Close
Ticker,ITUB4.SA
Date,
2024-05-20,24.772388458251953
2024-05-21,24.645275115966797
2024-05-22,24.263925552368164
2024-05-23,24.04708480834961
2024-05-24,23.815290451049805
2024-05-27,23.7330379486084
2024-05-28,23.605920791625977
2024-05-29,23.44141960144043
2024-05-31,23.202146530151367
2024-06-03,23.529579162597656
2024-06-04,23.611879348754883
2024-06-05,23.56698226928711
2024-06-06,23.866249084472656
2024-06-07,23.529579162597656
2024-06-10,23.342544555664062
2024-06-11,23.60439682006836
2024-06-12,23.56698226928711
2024-06-13,23.320096969604492
2024-06-14,23.297645568847656
2024-06-17,23.866249084472656
2024-06-18,23.851295471191406
2024-06-19,24.038330078125
2024-06-20,23.873737335205078
2024-06-21,24.040390014648438
2024-06-24,24.38727378845215
2024-06-25,24.46267318725586
2024-06-26,24.41742706298828
2024-06-27,24.46267318725586
2024-06-28,24.44005584716797
2024-07-01,24.32510757446289
2024-07-02,24.641996383666992
2024-07-03,24.792896270751953
2024-07-04,24.830623626708984
2024-07-05,24.84571647644043
2024-07-08,24.80044174194336
2024-07-09,24.973979949951172
2024-07-10,25.238056182861328
2024-07-11,25.38895034790039
2024-07-12,25.245595932006836
2024-07-15,25.343685150146484
2024-07-16,25.494579315185547
2024-07-17,25.773752212524414
2024-07-18,25.653024673461914
2024-07-19,25.84919548034668
2024-07-22,25.8341121673584
2024-07-23,25.796384811401367
2024-07-24,25.75865936279297
2024-07-25,25.64548110961914
2024-07-26,25.8341121673584
2024-07-29,26.02272605895996
2024-07-30,25.924644470214844
2024-07-31,25.56249237060547
2024-08-01,25.190814971923828
2024-08-02,24.873760223388672
2024-08-05,24.873760223388672
2024-08-06,25.424835205078125
2024-08-07,25.492774963378906
2024-08-08,25.402185440063477
2024-08-09,26.089141845703125
2024-08-12,26.126888275146484
2024-08-13,26.866682052612305
2024-08-14,27.530986785888672
2024-08-15,27.968830108642578
2024-08-16,27.734813690185547
2024-08-19,27.9008846282959
2024-08-20,28.104707717895508
2024-08-21,27.991479873657227
2024-08-22,27.734813690185547
2024-08-23,27.523435592651367
2024-08-26,27.58383560180664
2024-08-27,27.614028930664062
2024-08-28,28.210391998291016
2024-08-29,27.9008846282959
2024-08-30,27.704607009887695
2024-09-02,27.483816146850586
2024-09-03,27.929420471191406
2024-09-04,28.125778198242188
2024-09-05,28.307048797607422
2024-09-06,27.906757354736328
2024-09-09,28.178651809692383
2024-09-10,28.178651809692383
2024-09-11,28.231515884399414
2024-09-12,27.921863555908203
2024-09-13,27.95207405090332
2024-09-16,27.94451904296875
2024-09-17,27.876544952392578
2024-09-18,27.717939376831055
2024-09-19,27.642417907714844
2024-09-20,27.340312957763672
2024-09-23,27.180517196655273
2024-09-24,27.172914505004883
2024-09-25,27.515331268310547
2024-09-26,27.865352630615234
2024-09-27,27.971891403198242
2024-09-30,27.477279663085938
2024-10-01,27.026321411132812
2024-10-02,27.193811416625977
2024-10-03,26.523860931396484
2024-10-04,26.5771541595459
2024-10-07,26.75225067138672
2024-10-08,26.912126541137695
2024-10-09,26.417278289794922
2024-10-10,26.561927795410156
2024-10-11,26.36398696899414
2024-10-14,26.531476974487305
2024-10-15,26.835994720458984
2024-10-16,26.67612075805664
2024-10-17,26.72941017150879
2024-10-18,26.85883140563965
2024-10-21,26.721797943115234
2024-10-22,26.767475128173828
2024-10-23,26.93496322631836
2024-10-24,27.1785831451416
2024-10-25,26.874061584472656
2024-10-28,27.201427459716797
2024-10-29,26.912126541137695
2024-10-30,26.835994720458984
2024-10-31,26.660898208618164
2024-11-01,26.514385223388672
2024-11-04,26.872379302978516
2024-11-05,27.679767608642578
2024-11-06,27.55028533935547
2024-11-07,27.146587371826172
2024-11-08,26.72003746032715
2024-11-11,26.75051498413086
2024-11-12,26.43059730529785
2024-11-13,26.29349708557129
2024-11-14,26.217329025268555
2024-11-18,26.12592124938965
2024-11-19,26.362049102783203
2024-11-21,25.905033111572266
2024-11-22,25.981201171875
2024-11-25,25.973588943481445
2024-11-26,26.468685150146484
2024-11-27,25.821252822875977
2024-11-28,24.891986846923828
2024-11-29,24.831052780151367
2024-12-02,24.478694915771484
2024-12-03,24.7530574798584
2024-12-04,24.905475616455078
2024-12-05,25.43894386291504
2024-12-06,24.920713424682617
2024-12-09,25.04265022277832
2024-12-10,25.381601333618164
2024-12-11,25.6278018951416
2024-12-12,24.989227294921875
2024-12-13,24.66608428955078
2024-12-16,24.39680290222168
2024-12-17,24.527599334716797
2024-12-18,23.827472686767578
2024-12-19,23.958267211914062
2024-12-20,24.235239028930664
2024-12-23,23.76592254638672
2024-12-26,23.919795989990234
2024-12-27,23.68128776550293
2024-12-30,23.642822265625
2025-01-02,23.533239364624023
2025-01-03,22.955881118774414
2025-01-06,23.987430572509766
2025-01-07,24.249168395996094
2025-01-08,23.85655975341797
2025-01-09,23.918148040771484
2025-01-10,23.587129592895508
2025-01-13,23.756484985351562
2025-01-14,23.771879196166992
2025-01-15,24.803434371948242
2025-01-16,24.72645378112793
2025-01-17,24.903507232666016
2025-01-20,25.142148971557617
2025-01-21,25.196041107177734
2025-01-22,25.10365867614746
2025-01-23,25.049768447875977
2025-01-24,24.988189697265625
2025-01-27,25.588645935058594
2025-01-28,25.63483428955078
2025-01-29,25.57324981689453
2025-01-30,26.196796417236328
2025-01-31,26.02743911743164
2025-02-03,25.786863327026367
2025-02-04,25.879289627075195
2025-02-05,26.2720947265625
2025-02-06,26.31831169128418
2025-02-07,26.125757217407227
2025-02-10,26.410736083984375
2025-02-11,26.688013076782227
2025-02-12,25.9486083984375
2025-02-13,26.08724594116211
2025-02-14,26.78044319152832
2025-02-17,26.8343563079834
2025-02-18,26.78946876525879
2025-02-19,26.539325714111328
2025-02-20,26.46670913696289
2025-02-21,26.38601303100586
2025-02-24,26.24077033996582
2025-02-25,26.50704574584961
2025-02-26,26.44249725341797
2025-02-27,26.41828727722168
2025-02-28,25.772764205932617
2025-03-05,26.158395767211914
2025-03-06,26.206838607788086
2025-03-07,26.319860458374023
2025-03-10,26.553998947143555
2025-03-11,26.319860458374023
2025-03-12,26.400602340698242
2025-03-13,26.828500747680664
2025-03-14,27.700448989868164
2025-03-17,28.532028198242188
2025-03-18,28.685422897338867
2025-03-19,28.756473541259766
2025-03-20,28.49004554748535
2025-03-21,28.552209854125977
2025-03-24,28.5788516998291
2025-03-25,28.809757232666016
2025-03-26,28.498926162719727
2025-03-27,28.534446716308594
2025-03-28,28.143686294555664
2025-03-31,27.895021438598633
2025-04-01,27.901819229125977
2025-04-02,27.91070556640625
2025-04-03,28.408313751220703
2025-04-04,27.67078399658203
2025-04-07,27.724103927612305
2025-04-08,27.732982635498047
2025-04-09,28.239482879638672
2025-04-10,28.12396812438965
2025-04-11,28.266145706176758
2025-04-14,28.728208541870117
2025-04-15,29.092533111572266
2025-04-16,29.048105239868164
2025-04-17,29.10141944885254
2025-04-22,29.670120239257812
2025-04-23,30.292133331298828
